event,fighter1,fighter2,gender,weight_class,title_fight,winner,method_of_winning,number_of_rounds,round_won,time_won,fight_url
UFC Fight Night: Covington vs. Buckley,Colby Covington,Joaquin Buckley,M,Welterweight,NULL,Joaquin Buckley,TKO - Doctor's Stoppage,5,3,4:42,http://ufcstats.com/fight-details/00c6a2ef07ca51da
UFC Fight Night: Covington vs. Buckley,Cub Swanson,Billy Quarantillo,M,Featherweight,NULL,Cub Swanson,KO/TKO,3,3,1:36,http://ufcstats.com/fight-details/7521015554088962
UFC Fight Night: Covington vs. Buckley,Manel Kape,Bruno Silva,M,Flyweight,NULL,Manel Kape,KO/TKO,3,3,1:57,http://ufcstats.com/fight-details/1a635a5e4551e7d5
UFC Fight Night: Covington vs. Buckley,Vitor Petrino,Dustin Jacoby,M,Heavyweight,NULL,Dustin Jacoby,KO/TKO,3,3,3:44,http://ufcstats.com/fight-details/7b1bc4ff776f12c1
UFC Fight Night: Covington vs. Buckley,Adrian Yanez,Daniel Marcos,M,Bantamweight,NULL,Daniel Marcos,Decision,3,3,5:00,http://ufcstats.com/fight-details/5238f6470d0557fb
UFC Fight Night: Covington vs. Buckley,Navajo Stirling,Tuco Tokkos,M,Heavyweight,NULL,Navajo Stirling,Decision,3,3,5:00,http://ufcstats.com/fight-details/2b6a75175bbca4e9
UFC Fight Night: Covington vs. Buckley,Michael Johnson,Ottman Azaitar,M,Lightweight,NULL,Michael Johnson,KO/TKO,3,2,2:03,http://ufcstats.com/fight-details/9c24c03131d5b49a
UFC Fight Night: Covington vs. Buckley,Joel Alvarez,Drakkar Klose,M,Lightweight,NULL,Joel Alvarez,KO/TKO,3,1,2:48,http://ufcstats.com/fight-details/b0be38110c2d8b84
UFC Fight Night: Covington vs. Buckley,Sean Woodson,Fernando Padilla,M,Featherweight,NULL,Sean Woodson,KO/TKO,3,1,4:58,http://ufcstats.com/fight-details/ebeeed2595266bbc
UFC Fight Night: Covington vs. Buckley,Miles Johns,Felipe Lima,M,Featherweight,NULL,Felipe Lima,Decision,3,3,5:00,http://ufcstats.com/fight-details/cf258c17234d649e
UFC Fight Night: Covington vs. Buckley,Miranda Maverick,Jamey-Lyn Horth,F,Women's Flyweight,NULL,Miranda Maverick,Decision,3,3,5:00,http://ufcstats.com/fight-details/e5f9d59d00fe3c73
UFC Fight Night: Covington vs. Buckley,Davey Grant,Ramon Taveras,M,Bantamweight,NULL,Davey Grant,Decision,3,3,5:00,http://ufcstats.com/fight-details/b40e4deb48658851
UFC Fight Night: Covington vs. Buckley,Josefine Knutsson,Piera Rodriguez,F,Women's Strawweight,NULL,Piera Rodriguez,Decision,3,3,5:00,http://ufcstats.com/fight-details/edf7ce89ad672e85
UFC 310: Pantoja vs. Asakura,Alexandre Pantoja,Kai Asakura,M,Flyweight,Title Fight,Alexandre Pantoja,Submission,5,2,2:05,http://ufcstats.com/fight-details/e761c5009c09b295
UFC 310: Pantoja vs. Asakura,Shavkat Rakhmonov,Ian Machado Garry,M,Welterweight,NULL,Shavkat Rakhmonov,Decision,5,5,5:00,http://ufcstats.com/fight-details/1569186ee820ea87
UFC 310: Pantoja vs. Asakura,Ciryl Gane,Alexander Volkov,M,Heavyweight,NULL,Ciryl Gane,Decision,3,3,5:00,http://ufcstats.com/fight-details/f706508c52f337a6
UFC 310: Pantoja vs. Asakura,Bryce Mitchell,Kron Gracie,M,Featherweight,NULL,Bryce Mitchell,KO/TKO,3,3,0:39,http://ufcstats.com/fight-details/0292b9c31c0089ac
UFC 310: Pantoja vs. Asakura,Nate Landwehr,Dooho Choi,M,Featherweight,NULL,Dooho Choi,KO/TKO,3,3,3:21,http://ufcstats.com/fight-details/089388c9f00ce9c6
UFC 310: Pantoja vs. Asakura,Dominick Reyes,Anthony Smith,M,Heavyweight,NULL,Dominick Reyes,KO/TKO,3,2,4:46,http://ufcstats.com/fight-details/97caf8fca9d9603b
UFC 310: Pantoja vs. Asakura,Vicente Luque,Themba Gorimbo,M,Welterweight,NULL,Vicente Luque,Submission,3,1,0:52,http://ufcstats.com/fight-details/4914f7bd073c6359
UFC 310: Pantoja vs. Asakura,Movsar Evloev,Aljamain Sterling,M,Featherweight,NULL,Movsar Evloev,Decision,3,3,5:00,http://ufcstats.com/fight-details/df30514e0674d598
UFC 310: Pantoja vs. Asakura,Randy Brown,Bryan Battle,M,Welterweight,NULL,Bryan Battle,Decision,3,3,5:00,http://ufcstats.com/fight-details/7c0d0a28a8fba102
UFC 310: Pantoja vs. Asakura,Chris Weidman,Eryk Anders,M,NULL,NULL,Eryk Anders,KO/TKO,3,2,4:51,http://ufcstats.com/fight-details/0f16d83859d608c7
UFC 310: Pantoja vs. Asakura,Cody Durden,Joshua Van,M,Flyweight,NULL,Joshua Van,Decision,3,3,5:00,http://ufcstats.com/fight-details/d38029cf47e54cf7
UFC 310: Pantoja vs. Asakura,Michael Chiesa,Max Griffin,M,Welterweight,NULL,Michael Chiesa,Submission,3,3,1:56,http://ufcstats.com/fight-details/a5c57b0f49e9f61c
UFC 310: Pantoja vs. Asakura,Clay Guida,Chase Hooper,M,Lightweight,NULL,Chase Hooper,Submission,3,1,3:41,http://ufcstats.com/fight-details/72b12a837290b327
UFC 310: Pantoja vs. Asakura,Kennedy Nzechukwu,Lukasz Brzeski,M,Heavyweight,NULL,Kennedy Nzechukwu,KO/TKO,3,1,4:51,http://ufcstats.com/fight-details/eb94412f15c62650
UFC Fight Night: Yan vs. Figueiredo,Petr Yan,Deiveson Figueiredo,M,Bantamweight,NULL,Petr Yan,Decision,5,5,5:00,http://ufcstats.com/fight-details/f53573316a4f349f
UFC Fight Night: Yan vs. Figueiredo,Yan Xiaonan,Tabatha Ricci,F,Women's Strawweight,NULL,Yan Xiaonan,Decision,3,3,5:00,http://ufcstats.com/fight-details/f0c4aff7dd1ec4e9
UFC Fight Night: Yan vs. Figueiredo,Song Kenan,Muslim Salikhov,M,Welterweight,NULL,Muslim Salikhov,KO/TKO,3,1,3:49,http://ufcstats.com/fight-details/bec57d7cce0e6257
UFC Fight Night: Yan vs. Figueiredo,Wang Cong,Gabriella Fernandes,F,Women's Flyweight,NULL,Gabriella Fernandes,Submission,3,2,3:49,http://ufcstats.com/fight-details/64d6d51219e0664c
UFC Fight Night: Yan vs. Figueiredo,Volkan Oezdemir,Carlos Ulberg,M,Heavyweight,NULL,Carlos Ulberg,Decision,3,3,5:00,http://ufcstats.com/fight-details/02ec66f311dce539
UFC Fight Night: Yan vs. Figueiredo,Zhang Mingyang,Ozzy Diaz,M,Heavyweight,NULL,Zhang Mingyang,KO/TKO,3,1,2:25,http://ufcstats.com/fight-details/56d2c00dfd391fcf
UFC Fight Night: Yan vs. Figueiredo,Baergeng Jieleyisi,SuYoung You,M,Bantamweight,NULL,SuYoung You,Decision,3,3,5:00,http://ufcstats.com/fight-details/9c207acb12c17a67
UFC Fight Night: Yan vs. Figueiredo,Kiru Sahota,DongHun Choi,M,Flyweight,NULL,DongHun Choi,KO/TKO,3,1,2:36,http://ufcstats.com/fight-details/828de4f5585c908c
UFC Fight Night: Yan vs. Figueiredo,Shi Ming,Feng Xiaocan,F,Women's Strawweight,NULL,Shi Ming,KO/TKO,3,3,0:46,http://ufcstats.com/fight-details/baee9b2491c986e2
UFC Fight Night: Yan vs. Figueiredo,Nyamjargal Tumendemberel,Carlos Hernandez,M,Flyweight,NULL,Carlos Hernandez,Decision,3,3,5:00,http://ufcstats.com/fight-details/5dab54e34c2cfe01
UFC Fight Night: Yan vs. Figueiredo,Lone'er Kavanagh,Jose Ochoa,M,Flyweight,NULL,Lone'er Kavanagh,Decision,3,3,5:00,http://ufcstats.com/fight-details/38f1c83c19e99fa2
UFC Fight Night: Yan vs. Figueiredo,Xiao Long,Quang Le,M,Bantamweight,NULL,Xiao Long,KO/TKO,3,3,1:28,http://ufcstats.com/fight-details/f5f28a8b472b8012
UFC Fight Night: Yan vs. Figueiredo,Maheshate,Nikolas Motta,M,Lightweight,NULL,Nikolas Motta,Decision,3,3,5:00,http://ufcstats.com/fight-details/86a2f07e0bf20297
UFC 309: Jones vs. Miocic,Jon Jones,Stipe Miocic,M,Heavyweight,Title Fight,Jon Jones,KO/TKO,5,3,4:29,http://ufcstats.com/fight-details/b35e47f2f58ef026
UFC 309: Jones vs. Miocic,Charles Oliveira,Michael Chandler,M,Lightweight,NULL,Charles Oliveira,Decision,5,5,5:00,http://ufcstats.com/fight-details/4f4189009a190e35
UFC 309: Jones vs. Miocic,Bo Nickal,Paul Craig,M,Middleweight,NULL,Bo Nickal,Decision,3,3,5:00,http://ufcstats.com/fight-details/cfd3e62c638fbd1f
UFC 309: Jones vs. Miocic,Viviane Araujo,Karine Silva,F,Women's Flyweight,NULL,Viviane Araujo,Decision,3,3,5:00,http://ufcstats.com/fight-details/8545a2495db16538
UFC 309: Jones vs. Miocic,Mauricio Ruffy,James Llontop,M,NULL,NULL,Mauricio Ruffy,Decision,3,3,5:00,http://ufcstats.com/fight-details/55eebc2ee92bf00a
UFC 309: Jones vs. Miocic,Jonathan Martinez,Marcus McGhee,M,Bantamweight,NULL,Marcus McGhee,Decision,3,3,5:00,http://ufcstats.com/fight-details/2a930e2d7e1f87a9
UFC 309: Jones vs. Miocic,Jim Miller,Damon Jackson,M,Lightweight,NULL,Jim Miller,Submission,3,1,2:44,http://ufcstats.com/fight-details/35c8223cc967fe0a
UFC 309: Jones vs. Miocic,David Onama,Roberto Romero,M,Lightweight,NULL,David Onama,Decision,3,3,5:00,http://ufcstats.com/fight-details/c565e2baa27cc7e5
UFC 309: Jones vs. Miocic,Marcin Tybura,Jhonata Diniz,M,Heavyweight,NULL,Marcin Tybura,TKO - Doctor's Stoppage,3,2,5:00,http://ufcstats.com/fight-details/6c1faa6284428e5d
UFC 309: Jones vs. Miocic,Mickey Gall,Ramiz Brahimaj,M,Welterweight,NULL,Ramiz Brahimaj,KO/TKO,3,1,2:55,http://ufcstats.com/fight-details/00414fc5519233b4
UFC 309: Jones vs. Miocic,Bassil Hafez,Oban Elliott,M,Welterweight,NULL,Oban Elliott,KO/TKO,3,3,0:40,http://ufcstats.com/fight-details/9676a4e9362e4bfd
UFC 309: Jones vs. Miocic,Veronica Hardy,Eduarda Moura,F,Women's Flyweight,NULL,Eduarda Moura,Decision,3,3,5:00,http://ufcstats.com/fight-details/40e2a7b65794ac05
UFC Fight Night: Magny vs. Prates,Neil Magny,Carlos Prates,M,Welterweight,NULL,Carlos Prates,KO/TKO,5,1,4:50,http://ufcstats.com/fight-details/73f451d894a1d4ca
UFC Fight Night: Magny vs. Prates,Gerald Meerschaert,Reinier de Ridder,M,Middleweight,NULL,Reinier de Ridder,Submission,3,3,1:44,http://ufcstats.com/fight-details/154138c8fc89c315
UFC Fight Night: Magny vs. Prates,Gaston Bolanos,Cortavious Romious,M,Bantamweight,NULL,Gaston Bolanos,Decision,3,3,5:00,http://ufcstats.com/fight-details/e6685759ed2af90d
UFC Fight Night: Magny vs. Prates,Luana Pinheiro,Gillian Robertson,F,Women's Strawweight,NULL,Gillian Robertson,Decision,3,3,5:00,http://ufcstats.com/fight-details/c31d9cac7534d879
UFC Fight Night: Magny vs. Prates,Mansur Abdul-Malik,Dusko Todorovic,M,Middleweight,NULL,Mansur Abdul-Malik,KO/TKO,3,1,2:44,http://ufcstats.com/fight-details/ea6427379a83bd01
UFC Fight Night: Magny vs. Prates,Karolina Kowalkiewicz,Denise Gomes,F,Women's Strawweight,NULL,Denise Gomes,Decision,3,3,5:00,http://ufcstats.com/fight-details/e62033cb1e79aa81
UFC Fight Night: Magny vs. Prates,Elizeu Zaleski dos Santos,Zachary Scroggin,M,Welterweight,NULL,Elizeu Zaleski dos Santos,KO/TKO,3,1,1:15,http://ufcstats.com/fight-details/c9d2a718f39274c0
UFC Fight Night: Magny vs. Prates,Matthew Semelsberger,Charles Radtke,M,Welterweight,NULL,Charles Radtke,KO/TKO,3,1,0:51,http://ufcstats.com/fight-details/6b9ed3867dd42b3b
UFC Fight Night: Magny vs. Prates,Cody Stamann,Da'Mon Blackshear,M,Bantamweight,NULL,Da'Mon Blackshear,Submission,3,1,4:19,http://ufcstats.com/fight-details/6fd1edb58d271f7c
UFC Fight Night: Magny vs. Prates,Tresean Gore,Antonio Trocoli,M,Middleweight,NULL,Tresean Gore,Submission,3,1,1:23,http://ufcstats.com/fight-details/582846744e379178
UFC Fight Night: Magny vs. Prates,Melissa Mullins,Klaudia Sygula,F,Women's Bantamweight,NULL,Melissa Mullins,KO/TKO,3,2,1:20,http://ufcstats.com/fight-details/32f2965b4f4c4ebf
UFC Fight Night: Moreno vs. Albazi,Brandon Moreno,Amir Albazi,M,Flyweight,NULL,Brandon Moreno,Decision,5,5,5:00,http://ufcstats.com/fight-details/799acf3ae8a5df0a
UFC Fight Night: Moreno vs. Albazi,Erin Blanchfield,Rose Namajunas,F,Women's Flyweight,NULL,Erin Blanchfield,Decision,5,5,5:00,http://ufcstats.com/fight-details/18729b11614406bf
UFC Fight Night: Moreno vs. Albazi,Caio Machado,Brendson Ribeiro,M,Heavyweight,NULL,Brendson Ribeiro,Decision,3,3,5:00,http://ufcstats.com/fight-details/7edf2fe3a8776a44
UFC Fight Night: Moreno vs. Albazi,Ariane da Silva,Jasmine Jasudavicius,F,Women's Flyweight,NULL,Jasmine Jasudavicius,Submission,3,3,2:28,http://ufcstats.com/fight-details/eaa885cf7ae31e0b
UFC Fight Night: Moreno vs. Albazi,Marc-Andre Barriault,Dustin Stoltzfus,M,Middleweight,NULL,Dustin Stoltzfus,KO/TKO,3,1,4:28,http://ufcstats.com/fight-details/6ad594777cce2d7d
UFC Fight Night: Moreno vs. Albazi,Mike Malott,Trevin Giles,M,Welterweight,NULL,Mike Malott,Decision,3,3,5:00,http://ufcstats.com/fight-details/d29a82322bb083d9
UFC Fight Night: Moreno vs. Albazi,Aiemann Zahabi,Pedro Munhoz,M,Bantamweight,NULL,Aiemann Zahabi,Decision,3,3,5:00,http://ufcstats.com/fight-details/b989d4d7e220b3c1
UFC Fight Night: Moreno vs. Albazi,Charles Jourdain,Victor Henry,M,Bantamweight,NULL,Charles Jourdain,Submission,3,2,3:43,http://ufcstats.com/fight-details/24581e2b39fe3319
UFC Fight Night: Moreno vs. Albazi,Jack Shore,Youssef Zalal,M,Featherweight,NULL,Youssef Zalal,Submission,3,2,0:59,http://ufcstats.com/fight-details/5256ba94641a4284
UFC Fight Night: Moreno vs. Albazi,Alexandr Romanov,Rodrigo Nascimento,M,Heavyweight,NULL,Alexandr Romanov,Decision,3,3,5:00,http://ufcstats.com/fight-details/de084f0d65421cfa
UFC Fight Night: Moreno vs. Albazi,Serhiy Sidey,Garrett Armfield,M,Bantamweight,NULL,Serhiy Sidey,Decision,3,3,5:00,http://ufcstats.com/fight-details/f93b074dfd47b4b4
UFC Fight Night: Moreno vs. Albazi,Chad Anheliger,Cody Gibson,M,Bantamweight,NULL,Cody Gibson,Decision,3,3,5:00,http://ufcstats.com/fight-details/c9cef59a5de32219
UFC Fight Night: Moreno vs. Albazi,Jamey-Lyn Horth,Ivana Petrovic,F,Women's Flyweight,NULL,Jamey-Lyn Horth,Decision,3,3,5:00,http://ufcstats.com/fight-details/f0723cda67db3954
UFC 308: Topuria vs. Holloway,Ilia Topuria,Max Holloway,M,Featherweight,Title Fight,Ilia Topuria,KO/TKO,5,3,1:34,http://ufcstats.com/fight-details/ebf7cea27b83c432
UFC 308: Topuria vs. Holloway,Robert Whittaker,Khamzat Chimaev,M,Middleweight,NULL,Khamzat Chimaev,Submission,5,1,3:34,http://ufcstats.com/fight-details/b8bf186f884678ea
UFC 308: Topuria vs. Holloway,Magomed Ankalaev,Aleksandar Rakic,M,Heavyweight,NULL,Magomed Ankalaev,Decision,3,3,5:00,http://ufcstats.com/fight-details/b09f54654b0f95f5
UFC 308: Topuria vs. Holloway,Lerone Murphy,Dan Ige,M,Featherweight,NULL,Lerone Murphy,Decision,3,3,5:00,http://ufcstats.com/fight-details/cc11a0762f246fa4
UFC 308: Topuria vs. Holloway,Shara Magomedov,Armen Petrosyan,M,Middleweight,NULL,Shara Magomedov,KO/TKO,3,2,4:52,http://ufcstats.com/fight-details/108434acbbd75d26
UFC 308: Topuria vs. Holloway,Ibo Aslan,Rafael Cerqueira,M,Heavyweight,NULL,Ibo Aslan,KO/TKO,3,1,0:51,http://ufcstats.com/fight-details/781a2ea50f5ae68f
UFC 308: Topuria vs. Holloway,Geoff Neal,Rafael Dos Anjos,M,Welterweight,NULL,Geoff Neal,KO/TKO,3,1,1:30,http://ufcstats.com/fight-details/1d65c141776949d6
UFC 308: Topuria vs. Holloway,Mateusz Rebecki,Myktybek Orolbai,M,NULL,NULL,Mateusz Rebecki,Decision,3,3,5:00,http://ufcstats.com/fight-details/919e3c5cc6999cb3
UFC 308: Topuria vs. Holloway,Abus Magomedov,Brunno Ferreira,M,Middleweight,NULL,Abus Magomedov,Submission,3,3,3:14,http://ufcstats.com/fight-details/af6eeea1cfe33240
UFC 308: Topuria vs. Holloway,Kennedy Nzechukwu,Chris Barnett,M,Heavyweight,NULL,Kennedy Nzechukwu,KO/TKO,3,1,4:27,http://ufcstats.com/fight-details/df7928de73fc2fe8
UFC 308: Topuria vs. Holloway,Farid Basharat,Victor Hugo,M,Featherweight,NULL,Farid Basharat,Decision,3,3,5:00,http://ufcstats.com/fight-details/5c783cd188425783
UFC 308: Topuria vs. Holloway,Ismail Naurdiev,Bruno Silva,M,Middleweight,NULL,Ismail Naurdiev,Decision,3,3,5:00,http://ufcstats.com/fight-details/bde635a4f345bc3e
UFC 308: Topuria vs. Holloway,Rinat Fakhretdinov,Carlos Leal,M,Welterweight,NULL,Rinat Fakhretdinov,Decision,3,3,5:00,http://ufcstats.com/fight-details/6114076c689e8457
UFC Fight Night: Hernandez vs. Pereira,Anthony Hernandez,Michel Pereira,M,Middleweight,NULL,Anthony Hernandez,KO/TKO,5,5,2:22,http://ufcstats.com/fight-details/a2f2c64f9fb3fb1c
UFC Fight Night: Hernandez vs. Pereira,Rob Font,Kyler Phillips,M,Bantamweight,NULL,Rob Font,Decision,3,3,5:00,http://ufcstats.com/fight-details/f01b97e864cb4b8b
UFC Fight Night: Hernandez vs. Pereira,Charles Johnson,Sumudaerji,M,Flyweight,NULL,Charles Johnson,Decision,3,3,5:00,http://ufcstats.com/fight-details/503d7342cc08109f
UFC Fight Night: Hernandez vs. Pereira,Jake Hadley,Cameron Smotherman,M,Bantamweight,NULL,Cameron Smotherman,Decision,3,3,5:00,http://ufcstats.com/fight-details/a2f46e94aa6b0c64
UFC Fight Night: Hernandez vs. Pereira,Darren Elkins,Daniel Pineda,M,Featherweight,NULL,Darren Elkins,Decision,3,3,5:00,http://ufcstats.com/fight-details/0599f35e6679de02
UFC Fight Night: Hernandez vs. Pereira,Matheus Nicolau,Asu Almabayev,M,Flyweight,NULL,Asu Almabayev,Decision,3,3,5:00,http://ufcstats.com/fight-details/c61923255389e67c
UFC Fight Night: Hernandez vs. Pereira,Brad Katona,Jean Matsumoto,M,Bantamweight,NULL,Jean Matsumoto,Decision,3,3,5:00,http://ufcstats.com/fight-details/308f6cb830019ea9
UFC Fight Night: Hernandez vs. Pereira,Joselyne Edwards,Tamires Vidal,F,Women's Bantamweight,NULL,Joselyne Edwards,Submission,3,3,4:33,http://ufcstats.com/fight-details/fc73ecbd83b7f159
UFC Fight Night: Hernandez vs. Pereira,Jessica Penne,Elise Reed,F,Women's Strawweight,NULL,Elise Reed,Decision,3,3,5:00,http://ufcstats.com/fight-details/53f7f1b4834387a8
UFC Fight Night: Hernandez vs. Pereira,Melissa Martinez,Alice Ardelean,F,Women's Strawweight,NULL,Melissa Martinez,Decision,3,3,5:00,http://ufcstats.com/fight-details/4277b02a4dadac40
UFC Fight Night: Hernandez vs. Pereira,Austen Lane,Robelis Despaigne,M,Heavyweight,NULL,Austen Lane,Decision,3,3,5:00,http://ufcstats.com/fight-details/32b8c6c4b735d712
UFC Fight Night: Royval vs. Taira,Brandon Royval,Tatsuro Taira,M,Flyweight,NULL,Brandon Royval,Decision,5,5,5:00,http://ufcstats.com/fight-details/998bde5639c61adb
UFC Fight Night: Royval vs. Taira,Brad Tavares,JunYong Park,M,Middleweight,NULL,JunYong Park,Decision,3,3,5:00,http://ufcstats.com/fight-details/6fa2dae90bda4742
UFC Fight Night: Royval vs. Taira,Chidi Njokuani,Jared Gooden,M,Welterweight,NULL,Chidi Njokuani,Decision,3,3,5:00,http://ufcstats.com/fight-details/ee5c0b8a757992af
UFC Fight Night: Royval vs. Taira,Grant Dawson,Rafa Garcia,M,Lightweight,NULL,Grant Dawson,KO/TKO,3,2,1:42,http://ufcstats.com/fight-details/98c29ba02cee5ba3
UFC Fight Night: Royval vs. Taira,Daniel Rodriguez,Alex Morono,M,Welterweight,NULL,Daniel Rodriguez,Decision,3,3,5:00,http://ufcstats.com/fight-details/f690949d90ff1dee
UFC Fight Night: Royval vs. Taira,CJ Vergara,Ramazan Temirov,M,Flyweight,NULL,Ramazan Temirov,KO/TKO,3,1,2:50,http://ufcstats.com/fight-details/f1cc9169813c4a3e
UFC Fight Night: Royval vs. Taira,Jonathan Pearce,Pat Sabatini,M,Featherweight,NULL,Pat Sabatini,Submission,3,1,4:06,http://ufcstats.com/fight-details/69a5895fde58432c
UFC Fight Night: Royval vs. Taira,Themba Gorimbo,Niko Price,M,Welterweight,NULL,Themba Gorimbo,Decision,3,3,5:00,http://ufcstats.com/fight-details/57415110bd494c79
UFC Fight Night: Royval vs. Taira,Junior Tafa,Sean Sharaf,M,Heavyweight,NULL,Junior Tafa,KO/TKO,3,2,2:15,http://ufcstats.com/fight-details/85854504ce1aa97a
UFC Fight Night: Royval vs. Taira,Julia Polastri,Cory McKenna,F,Women's Strawweight,NULL,Julia Polastri,Decision,3,3,5:00,http://ufcstats.com/fight-details/48dd2c9cb39bd2d4
UFC Fight Night: Royval vs. Taira,Dan Argueta,Cody Haddon,M,Bantamweight,NULL,Cody Haddon,Decision,3,3,5:00,http://ufcstats.com/fight-details/b23554da35a84fbc
UFC Fight Night: Royval vs. Taira,Clayton Carpenter,Lucas Rocha,M,Flyweight,NULL,Clayton Carpenter,Submission,3,2,2:12,http://ufcstats.com/fight-details/de484433eef22e1d
UFC 307: Pereira vs. Rountree Jr.,Alex Pereira,Khalil Rountree Jr.,M,Heavyweight,Title Fight,Alex Pereira,KO/TKO,5,4,4:32,http://ufcstats.com/fight-details/8c5e06c71f392f33
UFC 307: Pereira vs. Rountree Jr.,Raquel Pennington,Julianna Pena,F,Women's Bantamweight,Title Fight,Julianna Pena,Decision,5,5,5:00,http://ufcstats.com/fight-details/1d68bb733de24b06
UFC 307: Pereira vs. Rountree Jr.,Jose Aldo,Mario Bautista,M,Bantamweight,NULL,Mario Bautista,Decision,3,3,5:00,http://ufcstats.com/fight-details/3d7d82fff71e395a
UFC 307: Pereira vs. Rountree Jr.,Roman Dolidze,Kevin Holland,M,Middleweight,NULL,Roman Dolidze,KO/TKO,3,1,5:00,http://ufcstats.com/fight-details/5931cd9cf5da5f75
UFC 307: Pereira vs. Rountree Jr.,Ketlen Vieira,Kayla Harrison,F,Women's Bantamweight,NULL,Kayla Harrison,Decision,3,3,5:00,http://ufcstats.com/fight-details/9ea124a13d071186
UFC 307: Pereira vs. Rountree Jr.,Stephen Thompson,Joaquin Buckley,M,Welterweight,NULL,Joaquin Buckley,KO/TKO,3,3,2:17,http://ufcstats.com/fight-details/69bca5091b2a31f6
UFC 307: Pereira vs. Rountree Jr.,Marina Rodriguez,Iasmin Lucindo,F,Women's Strawweight,NULL,Iasmin Lucindo,Decision,3,3,5:00,http://ufcstats.com/fight-details/eb73b63bbd7b88a7
UFC 307: Pereira vs. Rountree Jr.,Austin Hubbard,Alexander Hernandez,M,Lightweight,NULL,Alexander Hernandez,Decision,3,3,5:00,http://ufcstats.com/fight-details/e8aad69aace1d31f
UFC 307: Pereira vs. Rountree Jr.,Cesar Almeida,Ihor Potieria,M,Middleweight,NULL,Cesar Almeida,Decision,3,3,5:00,http://ufcstats.com/fight-details/ed5b6681ab4e83e5
UFC 307: Pereira vs. Rountree Jr.,Ryan Spann,Ovince Saint Preux,M,Heavyweight,NULL,Ryan Spann,Submission,3,1,1:35,http://ufcstats.com/fight-details/58dec0a39cdefa3f
UFC 307: Pereira vs. Rountree Jr.,Carla Esparza,Tecia Pennington,F,Women's Strawweight,NULL,Tecia Pennington,Decision,3,3,5:00,http://ufcstats.com/fight-details/58e5fc1914c4e641
UFC 307: Pereira vs. Rountree Jr.,Court McGee,Tim Means,M,Welterweight,NULL,Court McGee,Submission,3,1,3:19,http://ufcstats.com/fight-details/84b3577229880760
UFC Fight Night: Moicano vs. Saint Denis,Renato Moicano,Benoit Saint Denis,M,Lightweight,NULL,Renato Moicano,TKO - Doctor's Stoppage,5,2,5:00,http://ufcstats.com/fight-details/7ca4c91bab696b89
UFC Fight Night: Moicano vs. Saint Denis,Nassourdine Imavov,Brendan Allen,M,Middleweight,NULL,Nassourdine Imavov,Decision,3,3,5:00,http://ufcstats.com/fight-details/62ff1e5deb124ff5
UFC Fight Night: Moicano vs. Saint Denis,William Gomis,Joanderson Brito,M,Featherweight,NULL,William Gomis,Decision,3,3,5:00,http://ufcstats.com/fight-details/19706d8ba0edf9cd
UFC Fight Night: Moicano vs. Saint Denis,Kevin Jousset,Bryan Battle,M,Welterweight,NULL,Bryan Battle,KO/TKO,3,2,3:47,http://ufcstats.com/fight-details/45f00a42a17f8e2a
UFC Fight Night: Moicano vs. Saint Denis,Morgan Charriere,Gabriel Miranda,M,Featherweight,NULL,Morgan Charriere,KO/TKO,3,2,0:27,http://ufcstats.com/fight-details/f114929ed709606e
UFC Fight Night: Moicano vs. Saint Denis,Fares Ziam,Matt Frevola,M,Lightweight,NULL,Fares Ziam,KO/TKO,3,3,2:59,http://ufcstats.com/fight-details/d806aacf5b6ba7f6
UFC Fight Night: Moicano vs. Saint Denis,Ion Cutelaba,Ivan Erslan,M,Heavyweight,NULL,Ion Cutelaba,Decision,3,3,5:00,http://ufcstats.com/fight-details/89b772f864acb637
UFC Fight Night: Moicano vs. Saint Denis,Oumar Sy,Da Woon Jung,M,Heavyweight,NULL,Oumar Sy,Decision,3,3,5:00,http://ufcstats.com/fight-details/3599e9de4ae0e171
UFC Fight Night: Moicano vs. Saint Denis,Ludovit Klein,Roosevelt Roberts,M,Lightweight,NULL,Ludovit Klein,Decision,3,3,5:00,http://ufcstats.com/fight-details/e01019fbfe0e9528
UFC Fight Night: Moicano vs. Saint Denis,Taylor Lapilus,Vince Morales,M,Bantamweight,NULL,Taylor Lapilus,Decision,3,3,5:00,http://ufcstats.com/fight-details/d063d46208c560b1
UFC Fight Night: Moicano vs. Saint Denis,Ailin Perez,Daria Zhelezniakova,F,Women's Bantamweight,NULL,Ailin Perez,Submission,3,1,3:52,http://ufcstats.com/fight-details/7ba432e218edc17d
UFC Fight Night: Moicano vs. Saint Denis,Daniel Barez,Victor Altamirano,M,Flyweight,NULL,Daniel Barez,Decision,3,3,5:00,http://ufcstats.com/fight-details/47d978a984a163aa
UFC Fight Night: Moicano vs. Saint Denis,Nora Cornolle,Jacqueline Cavalcanti,F,Women's Bantamweight,NULL,Jacqueline Cavalcanti,Decision,3,3,5:00,http://ufcstats.com/fight-details/a187670c5ee1ec5f
UFC Fight Night: Moicano vs. Saint Denis,Bolaji Oki,Chris Duncan,M,Lightweight,NULL,Chris Duncan,Submission,3,1,3:34,http://ufcstats.com/fight-details/eedc7fccf7037949
UFC 306: Riyadh Season Noche UFC,Sean O'Malley,Merab Dvalishvili,M,Bantamweight,Title Fight,Merab Dvalishvili,Decision,5,5,5:00,http://ufcstats.com/fight-details/3146e5a47a922976
