fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Acc,career_TD_Def,career_Sub_Avg
Siyar Bahadurzada,180.34,170.0,185.42,Orthodox,1984-04-17,24,73%,8,24%,1,3%,0.0,0%,2.91,NA,3.23,49%,1.32,61%,62%
Ignacio Bahamondes,190.5,155.0,190.5,Orthodox,1997-08-27,16,76%,5,24%,0,0%,0.0,0%,7.17,47%,4.41,57%,0.0,NA,85%
Bahatebole Batebolati,172.72,170.0,180.34,Southpaw,1997-09-12,10,83%,1,8%,1,8%,0.0,0%,4.02,45%,4.83,61%,1.34,66%,100%
Shamar Bailey,175.26,155.0,190.5,Southpaw,1982-09-22,16,59%,11,41%,0,0%,0.0,0%,1.56,NA,3.91,69%,1.5,33%,37%
Jordan Bailey,175.26,145.0,NA,NA,NA,6,67%,3,33%,0,0%,0.0,0%,1.74,NA,0.29,NA,4.35,NA,0%
Scott Baker,182.88,210.0,NA,NA,NA,1,50%,1,50%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Bryan Baker,190.5,185.0,NA,Orthodox,1985-10-13,18,78%,5,22%,0,0%,0.0,0%,1.78,52%,2.83,45%,0.44,NA,37%
Jin Bala,175.26,155.0,NA,NA,NA,23,88%,3,12%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Balajin,175.26,145.0,182.88,Orthodox,1992-03-31,23,85%,4,15%,0,0%,0.0,0%,1.4,33%,2.73,NA,2.0,NA,66%
Oluwale Bamgbose,180.34,185.0,198.12,Switch,1987-08-04,6,60%,4,40%,0,0%,0.0,0%,2.45,48%,2.7,55%,0.94,33%,37%
Stephen Banaszak,182.88,145.0,NA,NA,1990-12-07,5,50%,5,50%,0,0%,0.0,0%,4.2,47%,1.15,66%,0.0,NA,100%
Marcin Bandel,177.8,155.0,NA,Orthodox,1989-10-10,15,68%,7,32%,0,0%,0.0,0%,0.79,NA,5.26,23%,0.0,NA,0%
Humberto Bandenay,180.34,145.0,180.34,Southpaw,1994-09-04,14,64%,7,32%,0,0%,1.0,5%,2.22,41%,4.79,41%,2.9,46%,62%
Tae Hyun Bang,175.26,155.0,180.34,Switch,1983-04-15,18,64%,10,36%,0,0%,0.0,0%,2.72,38%,2.07,66%,0.49,33%,57%
Yohan Banks,NA,NA,NA,NA,NA,2,67%,1,33%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Shauna Bannon,165.1,115.0,165.1,Switch,1993-10-23,6,86%,1,14%,0,0%,0.0,0%,4.37,41%,3.77,42%,0.0,NA,42%
Antonio Banuelos,165.1,135.0,160.02,Orthodox,1979-09-23,20,62%,11,34%,1,3%,0.0,0%,2.69,33%,3.15,58%,1.62,62%,86%
Renan Barao,167.64,145.0,177.8,Orthodox,1987-01-31,34,77%,9,20%,0,0%,1.0,2%,3.78,36%,3.9,57%,1.49,41%,91%
Junior Barata,177.8,170.0,NA,Orthodox,1982-01-25,9,69%,3,23%,1,8%,0.0,0%,4.03,33%,8.46,34%,0.0,NA,0%
Maycee Barber,165.1,125.0,165.1,Switch,1998-05-18,14,88%,2,12%,0,0%,0.0,0%,4.7,53%,2.9,54%,1.44,43%,53%
Bryan Barberena,182.88,185.0,182.88,Southpaw,1989-05-03,18,60%,12,40%,0,0%,0.0,0%,5.35,48%,4.59,44%,0.13,22%,50%
Dione Barbosa,167.64,125.0,167.64,Orthodox,1992-05-08,7,70%,3,30%,0,0%,0.0,0%,1.85,48%,2.49,66%,1.73,28%,42%
Edson Barboza,180.34,145.0,190.5,Orthodox,1986-01-21,24,67%,12,33%,0,0%,0.0,0%,4.11,44%,4.65,56%,0.45,NA,72%
Raoni Barcelos,170.18,135.0,170.18,Orthodox,1987-05-01,18,78%,5,22%,0,0%,0.0,0%,5.22,51%,4.79,61%,1.86,32%,85%
Daniel Barez,167.64,125.0,167.64,Orthodox,1988-12-10,17,74%,6,26%,0,0%,0.0,0%,4.1,52%,5.05,57%,2.24,31%,92%
Danny Barlow,187.96,170.0,200.66,Southpaw,1995-08-02,9,100%,0,0%,0,0%,0.0,0%,5.72,NA,3.48,52%,0.0,NA,100%
Luke Barnatt,198.12,185.0,195.58,Orthodox,1988-04-13,13,76%,4,24%,0,0%,0.0,0%,4.43,36%,3.87,59%,0.63,42%,63%
James Barnes,172.72,135.0,180.34,Orthodox,1982-05-28,14,74%,5,26%,0,0%,0.0,0%,0.57,34%,3.02,39%,1.08,16%,40%
Nick Barnes,180.34,170.0,NA,NA,NA,11,85%,2,15%,0,0%,0.0,0%,2.86,29%,8.93,51%,5.36,NA,100%
Shonte Barnes,180.34,185.0,193.04,Southpaw,1987-02-09,6,67%,2,22%,1,11%,0.0,0%,2.32,38%,1.55,67%,0.0,NA,60%
Josh Barnett,190.5,250.0,198.12,Orthodox,1977-11-10,35,81%,8,19%,0,0%,0.0,0%,3.2,NA,2.11,57%,1.26,55%,55%
Chris Barnett,175.26,265.0,190.5,Orthodox,1986-06-14,23,72%,9,28%,0,0%,0.0,0%,4.21,47%,6.53,39%,0.0,NA,33%
Chris Barnhizer,NA,NA,NA,NA,NA,2,40%,3,60%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
David Baron,167.64,155.0,NA,Switch,1973-02-15,17,77%,4,18%,1,5%,0.0,0%,1.17,NA,2.1,56%,0.0,NA,14%
Phil Baroni,175.26,170.0,182.88,Orthodox,1976-04-16,15,45%,18,55%,0,0%,0.0,0%,2.77,45%,3.93,NA,1.46,47%,60%
Dan Barrera,175.26,170.0,NA,Orthodox,1980-12-23,3,75%,1,25%,0,0%,0.0,0%,0.8,NA,1.2,28%,1.0,8%,0%
Carlos Barreto,193.04,230.0,NA,Orthodox,NA,14,61%,9,39%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Jose Barreto,NA,185.0,NA,Southpaw,NA,0,0%,1,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Peter Barrett,177.8,145.0,185.42,Southpaw,1986-08-10,11,69%,5,31%,0,0%,0.0,0%,4.18,61%,4.32,42%,1.39,22%,66%
Marc-Andre Barriault,185.42,185.0,187.96,Orthodox,1990-02-18,16,62%,9,35%,0,0%,1.0,4%,5.98,47%,5.58,52%,0.21,25%,67%
David Barrios,167.64,145.0,NA,NA,NA,4,33%,8,67%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Alexandre Barros,175.26,170.0,NA,Southpaw,1976-11-19,22,67%,11,33%,0,0%,0.0,0%,0.98,NA,4.05,36%,1.84,NA,100%
Ricardo Barros,185.42,205.0,NA,NA,1976-03-22,2,50%,2,50%,0,0%,0.0,0%,NA,NA,8.22,31%,0.0,NA,100%
Francimar Barroso,185.42,205.0,190.5,Orthodox,1980-02-28,19,70%,7,26%,0,0%,1.0,4%,2.77,52%,3.07,59%,2.22,24%,83%
Pat Barry,180.34,235.0,187.96,Orthodox,1979-07-07,8,53%,7,47%,0,0%,0.0,0%,2.72,52%,3.54,59%,0.0,NA,76%
Dean Barry,177.8,170.0,182.88,Orthodox,1992-07-03,4,67%,2,33%,0,0%,0.0,0%,9.31,NA,4.66,51%,0.0,NA,100%
Enrique Barzola,170.18,145.0,177.8,Orthodox,1989-04-28,17,71%,5,21%,2,8%,0.0,0%,3.91,41%,2.97,68%,4.2,45%,66%
Javid Basharat,175.26,135.0,175.26,Orthodox,1995-09-07,14,88%,1,6%,0,0%,1.0,6%,5.42,53%,2.97,62%,1.7,NA,85%
Farid Basharat,172.72,135.0,180.34,Orthodox,1997-08-02,13,100%,0,0%,0,0%,0.0,0%,4.36,55%,2.57,59%,3.97,44%,80%
Austin Bashi,167.64,145.0,177.8,Orthodox,2001-09-29,13,100%,0,0%,0,0%,0.0,0%,2.67,52%,2.3,47%,18.18,66%,75%
Stephen Bass,175.26,145.0,NA,Orthodox,1982-11-14,11,85%,2,15%,0,0%,0.0,0%,4.87,52%,5.87,55%,0.0,NA,0%
Sean Bassett,NA,155.0,NA,NA,NA,0,0%,4,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Ryan Bastianelli,165.1,135.0,NA,NA,NA,6,43%,7,50%,0,0%,1.0,7%,NA,NA,NA,NA,0.0,NA,0%
Shayna Baszler,170.18,135.0,NA,Orthodox,1980-08-08,15,58%,11,42%,0,0%,0.0,0%,2.49,NA,6.36,51%,0.67,18%,44%
Michel Batista,190.5,260.0,NA,Orthodox,1984-04-20,4,67%,1,17%,0,0%,1.0,17%,NA,NA,4.03,NA,6.72,NA,0%
Bryan Battle,185.42,170.0,195.58,Orthodox,1994-09-21,13,81%,2,12%,0,0%,1.0,6%,5.12,52%,4.11,44%,0.77,17%,53%
Alan Baudot,190.5,243.0,200.66,Orthodox,1988-02-01,8,62%,3,23%,0,0%,2.0,15%,5.36,58%,4.82,46%,0.0,NA,62%
