fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Acc,career_TD_Def,career_Sub_Avg
Ante Delija,193.04,245.0,NA,Orthodox,1990-08-07,17,85%,3,15%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Jack Della Maddalena,180.34,170.0,185.42,Switch,1996-09-10,17,89%,2,11%,0,0%,0.0,0%,6.74,53%,4.27,66%,0.21,16%,70%
Roland Delorme,175.26,135.0,180.34,Orthodox,1983-12-18,9,60%,5,33%,0,0%,1.0,7%,2.28,44%,4.32,NA,2.51,34%,42%
Jon Delos Reyes,167.64,125.0,170.18,Orthodox,1987-08-19,8,62%,5,38%,0,0%,0.0,0%,2.99,38%,4.14,51%,3.2,83%,55%
Jason DeLucia,180.34,190.0,NA,Southpaw,1969-07-24,33,60%,21,38%,1,2%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Yadier DelValle,175.26,145.0,175.26,Southpaw,1996-07-29,8,100%,0,0%,0,0%,0.0,0%,8.33,66%,3.93,NA,2.0,33%,66%
Justin DeMoney,NA,170.0,NA,NA,1985-07-01,15,65%,7,30%,1,4%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Vanessa Demopoulos,157.48000000000002,115.0,149.86,Orthodox,1988-09-22,11,65%,6,35%,0,0%,0.0,0%,3.87,41%,5.53,41%,0.41,11%,27%
Chris Dempsey,177.8,185.0,182.88,Orthodox,1987-09-08,11,69%,5,31%,0,0%,0.0,0%,2.25,32%,2.82,65%,2.64,23%,16%
Nick Denis,170.18,135.0,NA,Orthodox,1983-10-11,11,79%,3,21%,0,0%,0.0,0%,6.54,53%,5.42,36%,2.8,NA,80%
Thomas Denny,177.8,170.0,NA,Orthodox,1971-04-19,27,55%,21,43%,1,2%,0.0,0%,2.36,45%,4.69,NA,1.48,17%,42%
Robert Densley,175.26,155.0,NA,NA,NA,9,47%,10,53%,0,0%,0.0,0%,1.81,47%,0.4,NA,0.0,NA,50%
Jason Dent,177.8,155.0,180.34,Orthodox,1980-06-12,22,63%,13,37%,0,0%,0.0,0%,2.01,39%,3.7,62%,0.0,NA,26%
Mackenzie Dern,162.56,115.0,160.02,Orthodox,1993-03-24,14,74%,5,26%,0,0%,0.0,0%,3.43,39%,4.12,51%,0.88,16%,30%
Booker DeRousse,187.96,205.0,NA,NA,1981-03-23,6,55%,5,45%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Tony DeSouza,182.88,170.0,177.8,Southpaw,1974-07-26,11,73%,4,27%,0,0%,0.0,0%,1.12,52%,1.57,41%,2.25,42%,40%
Robelis Despaigne,200.66,265.0,213.36,Orthodox,1988-09-09,5,71%,2,29%,0,0%,0.0,0%,2.11,59%,2.54,46%,0.0,NA,50%
Cory Devela,152.4,185.0,NA,Orthodox,NA,16,70%,7,30%,0,0%,0.0,0%,4.07,41%,4.0,47%,1.07,12%,62%
John Devine,NA,NA,NA,NA,NA,6,60%,4,40%,0,0%,0.0,0%,1.52,18%,2.28,57%,0.0,NA,0%
Edwin DeWees,185.42,185.0,NA,Orthodox,1982-08-07,38,68%,17,30%,0,0%,1.0,2%,1.53,33%,6.19,39%,2.18,66%,0%
Alessio Di Chirico,182.88,185.0,187.96,Orthodox,1989-12-12,13,65%,7,35%,0,0%,0.0,0%,3.32,39%,3.44,61%,1.46,39%,83%
Micol Di Segni,160.02,115.0,152.4,Orthodox,1987-12-29,7,70%,3,30%,0,0%,0.0,0%,7.47,NA,5.87,33%,0.0,NA,37%
Cyrille Diabate,198.12,205.0,205.74,Southpaw,1973-10-06,19,63%,10,33%,1,3%,0.0,0%,4.06,71%,1.78,NA,1.17,83%,53%
Thomas Diagne,185.42,154.0,NA,NA,1983-09-03,6,46%,6,46%,1,8%,0.0,0%,4.53,48%,4.53,63%,2.0,NA,66%
Marc Diakiese,177.8,155.0,185.42,Orthodox,1993-03-16,17,71%,7,29%,0,0%,0.0,0%,2.54,NA,2.64,52%,3.29,43%,66%
Tyler Diamond,170.18,145.0,175.26,Orthodox,1991-03-18,9,90%,1,10%,0,0%,0.0,0%,3.4,47%,2.53,44%,3.0,75%,70%
Blood Diamond,180.34,170.0,193.04,Switch,1988-07-10,3,50%,3,50%,0,0%,0.0,0%,3.12,55%,2.17,48%,0.0,NA,73%
Eldo Xavier Dias,180.34,180.0,NA,NA,1964-07-16,0,0%,1,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Rafael Dias,175.26,145.0,NA,Orthodox,1979-10-20,17,55%,12,39%,2,6%,0.0,0%,1.13,27%,2.19,NA,3.17,47%,100%
Hacran Dias,172.72,155.0,175.26,Orthodox,1984-06-16,23,77%,6,20%,1,3%,0.0,0%,2.08,41%,3.31,55%,2.5,39%,76%
Victor Dias,167.64,125.0,175.26,Orthodox,1990-12-26,11,79%,3,21%,0,0%,0.0,0%,2.87,44%,5.8,55%,5.0,41%,0%
Nick Diaz,185.42,170.0,193.04,Southpaw,1983-08-02,26,68%,10,26%,0,0%,2.0,5%,5.71,42%,3.84,59%,1.28,32%,60%
Nate Diaz,182.88,170.0,193.04,Southpaw,1985-04-16,22,63%,13,37%,0,0%,0.0,0%,4.57,45%,3.77,52%,1.05,NA,41%
Michael Diaz,NA,260.0,NA,NA,NA,1,33%,2,67%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Ryan Diaz,NA,145.0,NA,NA,NA,13,48%,14,52%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Adrian Diaz,177.8,145.0,NA,Southpaw,1988-04-26,11,69%,4,25%,1,6%,0.0,0%,0.48,42%,3.84,51%,2.4,NA,0%
Ozzy Diaz,193.04,205.0,200.66,Orthodox,1990-11-22,9,75%,3,25%,0,0%,0.0,0%,2.21,43%,4.74,46%,0.0,NA,0%
Mark Dickman,175.26,145.0,NA,NA,1984-07-19,11,79%,3,21%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Josh Diekmann,162.56,246.0,NA,NA,1976-10-09,15,62%,8,33%,0,0%,1.0,4%,0.28,5%,8.17,25%,0.0,NA,0%
Kyle Dietz,172.72,135.0,NA,Orthodox,1986-04-29,5,71%,2,29%,0,0%,0.0,0%,1.82,45%,2.08,62%,0.0,NA,0%
Seth Dikun,177.8,135.0,175.26,Orthodox,1980-08-05,9,53%,8,47%,0,0%,0.0,0%,1.45,26%,2.18,55%,0.0,NA,45%
TJ Dillashaw,167.64,135.0,170.18,Orthodox,1986-02-07,18,78%,5,22%,0,0%,0.0,0%,5.09,41%,3.47,62%,1.56,NA,77%
Ralph Dillon,187.96,205.0,NA,Orthodox,NA,0,0%,2,67%,1,33%,0.0,0%,0.34,14%,0.69,NA,0.0,NA,0%
Drew Dimanlig,NA,185.0,NA,NA,NA,3,43%,4,57%,0,0%,0.0,0%,3.7,73%,3.17,NA,0.0,NA,0%
Ding Meng,187.96,170.0,185.42,Orthodox,1994-09-27,34,79%,9,21%,0,0%,0.0,0%,3.4,NA,3.87,48%,1.0,NA,0%
Rodolfo Marques Diniz,167.64,135.0,NA,NA,1984-01-23,23,70%,9,27%,1,3%,0.0,0%,1.08,32%,2.36,33%,0.0,NA,50%
Jhonata Diniz,193.04,254.0,200.66,Orthodox,1991-06-23,8,89%,1,11%,0,0%,0.0,0%,3.36,53%,2.96,49%,0.0,NA,69%
Helio Dipp,195.58,185.0,NA,Orthodox,NA,6,67%,3,33%,0,0%,0.0,0%,0.6,25%,1.8,62%,0.0,NA,50%
Rico DiSciullo,172.72,135.0,NA,Orthodox,1986-10-12,9,75%,2,17%,0,0%,1.0,8%,1.71,33%,4.41,56%,0.0,NA,0%
Matt Dixon,177.8,170.0,190.5,Switch,1995-10-09,9,90%,1,10%,0,0%,0.0,0%,1.97,43%,4.56,37%,3.06,NA,0%
John Dixson,182.88,275.0,NA,Orthodox,NA,15,41%,22,59%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Anthony Do,162.56,125.0,NA,NA,NA,4,67%,2,33%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Russell Doane,170.18,135.0,177.8,Orthodox,1986-08-13,15,65%,8,35%,0,0%,0.0,0%,1.75,NA,1.68,53%,2.11,45%,52%
Drew Dober,172.72,155.0,177.8,Southpaw,1988-10-19,27,64%,14,33%,0,0%,1.0,2%,4.39,NA,4.25,51%,0.67,17%,56%
Shana Dobson,167.64,125.0,175.26,Orthodox,1989-03-30,4,44%,5,56%,0,0%,0.0,0%,3.34,37%,5.2,NA,0.84,NA,14%
AJ Dobson,185.42,185.0,193.04,Orthodox,1992-01-18,7,64%,3,27%,0,0%,1.0,9%,4.29,46%,5.31,46%,1.67,75%,65%
David Dodd,187.96,200.0,NA,Orthodox,1973-09-22,4,36%,7,64%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
John Dodson,160.02,135.0,167.64,Orthodox,1984-09-26,22,65%,12,35%,0,0%,0.0,0%,3.2,NA,3.58,61%,0.71,28%,82%
Joe Doerksen,182.88,185.0,190.5,Orthodox,1977-10-09,51,76%,16,24%,0,0%,0.0,0%,1.43,42%,2.79,NA,2.02,33%,33%
Mike Dolce,180.34,185.0,NA,NA,1976-04-15,5,33%,10,67%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Roman Dolidze,187.96,185.0,193.04,Orthodox,1988-07-15,14,82%,3,18%,0,0%,0.0,0%,3.16,42%,3.38,NA,1.33,42%,33%
Cameron Dollar,180.34,155.0,NA,Orthodox,1987-05-12,11,69%,5,31%,0,0%,0.0,0%,5.04,38%,2.94,61%,0.0,NA,0%
CB Dollaway,187.96,185.0,193.04,Orthodox,1983-08-10,17,65%,9,35%,0,0%,0.0,0%,2.65,47%,2.58,54%,3.55,54%,62%
Dennis Dombrow,NA,145.0,NA,NA,1986-03-17,7,54%,5,38%,0,0%,1.0,8%,NA,NA,NA,NA,0.0,NA,0%
OJ Dominguez,NA,NA,NA,NA,NA,0,0%,1,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
John Donaldson,172.72,145.0,NA,NA,1992-07-09,2,50%,2,50%,0,0%,0.0,0%,1.21,23%,4.22,51%,0.0,NA,0%
Dong Huaxiang,160.02,115.0,154.94,Switch,1998-08-21,12,80%,3,20%,0,0%,0.0,0%,3.5,59%,3.13,65%,4.0,44%,100%
Cody Donovan,190.5,205.0,187.96,Orthodox,1981-02-20,8,62%,5,38%,0,0%,0.0,0%,5.61,59%,5.44,45%,1.67,28%,0%
Houston Dorr,185.42,210.0,NA,Orthodox,NA,1,33%,2,67%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Rafael Dos Anjos,172.72,170.0,177.8,Southpaw,1984-10-26,32,65%,17,35%,0,0%,0.0,0%,3.48,47%,3.23,NA,1.95,35%,54%
Junior Dos Santos,193.04,238.0,195.58,Orthodox,1984-01-30,21,70%,9,30%,0,0%,0.0,0%,4.49,47%,3.33,56%,0.3,NA,81%
Geronimo dos Santos,190.5,264.0,NA,Orthodox,1980-08-17,39,67%,19,33%,0,0%,0.0,0%,1.09,33%,8.73,41%,0.0,NA,33%
Antonio Dos Santos,177.8,185.0,NA,Orthodox,1988-07-21,6,60%,4,40%,0,0%,0.0,0%,5.4,51%,3.94,43%,0.0,NA,100%
Anderson Dos Santos,165.1,135.0,177.8,Orthodox,1985-07-24,21,70%,9,30%,0,0%,0.0,0%,2.7,25%,5.37,49%,0.98,14%,66%
Acacio Dos Santos,193.04,205.0,200.66,Orthodox,1991-09-29,14,74%,5,26%,0,0%,0.0,0%,1.27,41%,1.4,43%,0.0,NA,31%
Rayanne dos Santos,157.48000000000002,115.0,157.48,Orthodox,1995-06-08,14,64%,8,36%,0,0%,0.0,0%,4.36,43%,5.2,61%,0.33,12%,88%
Felipe dos Santos,170.18,125.0,177.8,Orthodox,2000-09-11,8,73%,2,18%,0,0%,1.0,9%,3.87,37%,3.78,41%,0.0,NA,14%
Tiago dos Santos e Silva,175.26,145.0,177.8,Orthodox,1987-04-12,20,67%,7,23%,2,7%,1.0,3%,3.69,35%,4.23,59%,0.63,11%,33%
Oleksandr Doskalchuk,167.64,125.0,NA,Southpaw,1990-03-13,10,83%,2,17%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
David Douglas,180.34,155.0,NA,NA,1981-08-16,9,56%,7,44%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Damion Douglas,NA,170.0,NA,NA,NA,4,80%,1,20%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Cedric Doumbe,177.8,170.0,NA,NA,1992-08-13,2,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
John Dowdy,NA,NA,NA,NA,NA,0,0%,1,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Jordan Dowdy,NA,170.0,NA,NA,NA,4,57%,3,43%,0,0%,0.0,0%,2.11,44%,2.63,NA,0.0,NA,0%
Danny Downes,182.88,155.0,182.88,Orthodox,1986-04-08,8,73%,3,27%,0,0%,0.0,0%,1.66,34%,3.53,37%,0.0,NA,37%
Derek Downey,185.42,185.0,NA,Orthodox,1980-04-27,11,73%,4,27%,0,0%,0.0,0%,0.32,NA,3.36,12%,2.4,16%,0%
John Doyle,180.34,205.0,NA,Orthodox,1976-11-21,11,32%,22,65%,0,0%,1.0,3%,3.5,44%,10.51,27%,0.0,NA,0%
Edson Drago,193.04,220.0,NA,Orthodox,1977-08-29,11,61%,7,39%,0,0%,0.0,0%,1.16,NA,2.39,36%,0.0,NA,55%
Anthony Drilich,165.1,125.0,165.1,Southpaw,1994-03-17,8,80%,2,20%,0,0%,0.0,0%,5.8,31%,5.07,NA,0.0,NA,55%
Kyle Driscoll,180.34,145.0,187.96,Orthodox,1994-09-23,12,80%,3,20%,0,0%,0.0,0%,2.73,32%,2.6,58%,2.0,18%,0%
Chris Drumm,172.72,145.0,NA,NA,NA,0,0%,1,50%,0,0%,1.0,50%,NA,NA,NA,NA,0.0,NA,0%
Tomasz Drwal,185.42,205.0,193.04,Orthodox,1982-01-22,21,78%,5,19%,1,4%,0.0,0%,3.29,38%,2.26,57%,3.55,NA,82%
Robert Drysdale,190.5,205.0,NA,Orthodox,1981-10-05,7,88%,0,0%,0,0%,1.0,12%,NA,NA,NA,NA,7.32,NA,0%
Dricus Du Plessis,185.42,185.0,193.04,Switch,1994-01-14,22,92%,2,8%,0,0%,0.0,0%,6.18,49%,4.85,54%,3.04,NA,50%
Hugo Duarte,182.88,240.0,NA,Orthodox,1968-08-09,6,67%,3,33%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Antonio Duarte,170.18,135.0,NA,NA,NA,19,73%,7,27%,0,0%,0.0,0%,4.55,NA,4.18,57%,0.0,NA,60%
Joe Duarte,NA,155.0,NA,NA,1977-01-25,10,71%,4,29%,0,0%,0.0,0%,2.27,38%,4.0,53%,3.0,NA,69%
Yuneisy Duben,162.56,125.0,165.1,Orthodox,1996-07-08,6,86%,0,0%,0,0%,1.0,14%,20.55,64%,11.51,41%,0.0,NA,0%
Matthieu Duclos,190.5,185.0,195.58,Orthodox,1995-04-04,6,67%,3,33%,0,0%,0.0,0%,3.93,37%,6.81,46%,0.0,NA,100%
Emily Ducote,157.48000000000002,115.0,160.02,Orthodox,1994-01-01,13,59%,9,41%,0,0%,0.0,0%,7.45,52%,7.84,57%,0.2,14%,94%
Viktoriia Dudakova,165.1,115.0,170.18,Orthodox,1999-01-26,8,89%,1,11%,0,0%,0.0,0%,3.45,48%,3.77,49%,2.63,36%,50%
Milana Dudieva,160.02,135.0,NA,Orthodox,1989-08-04,11,65%,6,35%,0,0%,0.0,0%,0.87,31%,3.43,58%,2.34,45%,0%
Adin Duenas,167.64,145.0,NA,NA,1988-07-02,6,86%,1,14%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Todd Duffee,190.5,260.0,198.12,Orthodox,1985-12-06,9,69%,3,23%,0,0%,1.0,8%,5.93,37%,2.87,56%,0.72,25%,90%
Joe Duffy,177.8,155.0,185.42,Orthodox,1988-02-18,16,76%,5,24%,0,0%,0.0,0%,2.68,34%,3.78,54%,0.96,66%,64%
Jack Duffy,170.18,125.0,175.26,Switch,1995-10-02,7,88%,1,12%,0,0%,0.0,0%,5.07,69%,2.13,52%,0.0,NA,62%
Alexis Dufresne,175.26,135.0,NA,Orthodox,1990-08-31,6,67%,3,33%,0,0%,0.0,0%,1.33,27%,3.33,NA,1.5,NA,50%
Jessamyn Duke,180.34,135.0,185.42,Orthodox,1986-06-24,3,33%,5,56%,0,0%,1.0,11%,4.83,53%,4.43,57%,1.27,36%,50%
Islam Dulatov,190.5,170.0,190.5,Orthodox,1998-08-02,11,92%,1,8%,0,0%,0.0,0%,14.27,56%,5.49,51%,5.49,NA,0%
Isaac Dulgarian,170.18,145.0,180.34,Orthodox,1996-07-04,7,88%,1,12%,0,0%,0.0,0%,3.37,64%,1.82,41%,5.15,52%,0%
Kelly Dullanty,172.72,155.0,NA,Orthodox,1977-11-04,4,67%,2,33%,0,0%,0.0,0%,NA,NA,0.67,75%,0.0,NA,66%
Sedriques Dumas,187.96,185.0,200.66,Orthodox,1995-08-06,10,83%,2,17%,0,0%,0.0,0%,2.15,48%,2.03,58%,1.31,35%,40%
Norma Dumont,170.18,135.0,170.18,Orthodox,1990-10-01,12,86%,2,14%,0,0%,0.0,0%,3.86,NA,2.16,65%,1.72,56%,72%
Chris Duncan,177.8,155.0,180.34,Orthodox,1993-05-10,12,86%,2,14%,0,0%,0.0,0%,4.7,46%,4.0,48%,3.53,37%,33%
Christian Leroy Duncan,187.96,185.0,200.66,Switch,1995-07-24,10,83%,2,17%,0,0%,0.0,0%,4.71,62%,3.57,49%,0.31,14%,64%
Evan Dunham,177.8,155.0,177.8,Southpaw,1981-12-18,18,64%,9,32%,1,4%,0.0,0%,5.33,39%,3.54,61%,1.82,33%,79%
Alex Dunworth,172.72,155.0,NA,NA,NA,2,40%,2,40%,0,0%,1.0,20%,1.94,31%,8.71,35%,0.0,NA,50%
Tom Duquesnoy,170.18,135.0,172.72,Orthodox,1993-06-21,16,84%,2,11%,0,0%,1.0,5%,3.83,45%,5.3,62%,0.42,25%,46%
Albert Duraev,180.34,185.0,190.5,Orthodox,1989-01-05,16,76%,5,24%,0,0%,0.0,0%,2.99,NA,3.01,59%,1.97,29%,66%
Reuben Duran,170.18,135.0,180.34,Orthodox,1983-07-02,11,58%,7,37%,1,5%,0.0,0%,3.19,49%,2.61,NA,0.98,23%,25%
Cody Durden,170.18,125.0,170.18,Southpaw,1991-03-29,17,68%,7,28%,1,4%,0.0,0%,3.52,45%,4.29,49%,4.06,47%,73%
Luiz Dutra,180.34,170.0,NA,Orthodox,1982-05-06,13,65%,6,30%,1,5%,0.0,0%,3.92,NA,4.8,41%,0.0,NA,100%
Rilley Dutro,172.72,125.0,NA,Orthodox,1987-09-03,11,73%,4,27%,0,0%,0.0,0%,4.74,54%,5.95,33%,0.0,NA,83%
Bill Duvall,187.96,185.0,NA,Southpaw,NA,1,33%,2,67%,0,0%,0.0,0%,NA,NA,2.4,NA,0.0,NA,0%
Merab Dvalishvili,167.64,135.0,172.72,Orthodox,1991-01-10,18,82%,4,18%,0,0%,0.0,0%,4.35,42%,2.31,56%,6.09,36%,80%
David Dvorak,165.1,125.0,172.72,Orthodox,1992-06-05,20,77%,6,23%,0,0%,0.0,0%,3.48,43%,3.29,59%,0.58,NA,70%
Matt Dwyer,193.04,170.0,193.04,Orthodox,1989-12-17,9,69%,4,31%,0,0%,0.0,0%,2.57,34%,3.24,54%,0.44,NA,60%
Rolando Dy,172.72,145.0,175.26,Orthodox,1990-08-11,9,50%,7,39%,1,6%,1.0,6%,3.04,37%,4.47,52%,0.3,NA,68%
Ben Earwood,172.72,170.0,NA,Orthodox,NA,12,80%,3,20%,0,0%,0.0,0%,0.5,55%,0.2,33%,3.0,NA,0%
Cody East,190.5,245.0,NA,Orthodox,1988-06-29,12,80%,3,20%,0,0%,0.0,0%,4.15,43%,7.32,NA,3.97,NA,16%
Marvin Eastman,175.26,185.0,185.42,Orthodox,1971-06-08,18,53%,15,44%,1,3%,0.0,0%,2.21,35%,3.92,42%,1.38,33%,81%
Mike Easton,167.64,135.0,177.8,Southpaw,1984-01-25,13,68%,6,32%,0,0%,0.0,0%,3.51,37%,4.28,61%,0.75,22%,66%
Maurice Eazel,170.18,135.0,NA,NA,NA,7,32%,15,68%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Vincent Eazelle,180.34,155.0,NA,NA,1980-12-07,9,82%,2,18%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Ross Ebanez,175.26,154.0,NA,Southpaw,1975-05-18,20,61%,10,30%,0,0%,3.0,9%,0.74,NA,0.74,62%,3.7,NA,0%
Brian Ebersole,182.88,170.0,185.42,Southpaw,1980-11-27,51,72%,18,25%,1,1%,1.0,1%,2.32,49%,2.14,56%,1.7,23%,61%
Roybert Echeverria,165.1,125.0,170.18,Switch,1995-08-21,7,88%,1,12%,0,0%,0.0,0%,2.95,53%,2.52,57%,0.0,NA,71%
Mark Eddiva,172.72,145.0,172.72,Orthodox,1986-02-16,6,67%,3,33%,0,0%,0.0,0%,3.37,45%,2.98,54%,1.45,22%,63%
Frankie Edgar,167.64,135.0,172.72,Orthodox,1981-10-16,23,66%,11,31%,1,3%,0.0,0%,3.77,NA,2.82,65%,2.29,31%,65%
Abdul-Kerim Edilov,187.96,205.0,NA,Orthodox,1991-11-25,17,81%,4,19%,0,0%,0.0,0%,10.22,61%,0.13,92%,3.98,NA,0%
Johnny Eduardo,170.18,135.0,180.34,Orthodox,1978-08-03,28,68%,13,32%,0,0%,0.0,0%,2.95,39%,3.22,63%,0.22,NA,58%
Yves Edwards,175.26,155.0,185.42,Southpaw,1976-09-30,42,64%,22,33%,1,2%,1.0,2%,2.91,42%,2.34,66%,0.76,53%,69%
Justin Edwards,177.8,155.0,177.8,Orthodox,1983-01-26,9,64%,5,36%,0,0%,0.0,0%,2.68,42%,3.32,51%,2.14,26%,27%
Leon Edwards,187.96,170.0,187.96,Southpaw,1991-08-25,22,81%,4,15%,0,0%,1.0,4%,2.68,53%,2.37,53%,1.25,36%,65%
Te Edwards,172.72,155.0,182.88,Orthodox,1990-09-11,6,67%,3,33%,0,0%,0.0,0%,1.5,41%,4.15,44%,0.72,NA,44%
Adli Edwards,NA,145.0,NA,NA,1989-08-28,4,80%,1,20%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Joselyne Edwards,172.72,135.0,177.8,Orthodox,1995-09-29,14,70%,6,30%,0,0%,0.0,0%,4.48,52%,3.19,49%,1.23,39%,61%
Tom Egan,180.34,170.0,NA,Orthodox,NA,7,58%,5,42%,0,0%,0.0,0%,NA,NA,3.91,NA,0.0,NA,28%
Stephanie Egger,167.64,135.0,172.72,Orthodox,1988-08-12,8,62%,5,38%,0,0%,0.0,0%,2.2,46%,2.48,52%,2.48,42%,50%
Justin Eilers,185.42,235.0,NA,Orthodox,1978-06-28,19,70%,7,26%,1,4%,0.0,0%,2.86,43%,5.66,49%,0.82,25%,50%
Jon Olav Einemo,198.12,253.0,NA,Orthodox,1975-12-10,6,67%,3,33%,0,0%,0.0,0%,2.15,52%,3.05,52%,1.73,55%,43%
Per Eklund,177.8,155.0,182.88,Orthodox,NA,14,70%,5,25%,1,5%,0.0,0%,2.07,61%,2.38,67%,2.07,11%,50%
John Elam,NA,NA,NA,NA,NA,2,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Evan Elder,177.8,155.0,182.88,Switch,1997-04-11,9,82%,2,18%,0,0%,0.0,0%,5.02,49%,4.79,57%,0.63,NA,33%
John Paul Elias,193.04,205.0,NA,NA,NA,3,75%,1,25%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Joao Elias,160.02,125.0,162.56,Southpaw,1995-01-08,17,74%,4,17%,1,4%,1.0,4%,0.4,NA,6.47,NA,0.0,NA,50%
Saul Elizondo,170.18,135.0,NA,NA,1985-07-17,6,43%,8,57%,0,0%,0.0,0%,2.07,NA,4.93,48%,2.0,NA,66%
Darren Elkins,177.8,145.0,180.34,Orthodox,1984-05-16,29,72%,11,28%,0,0%,0.0,0%,3.4,38%,3.22,51%,2.86,34%,56%
Jake Ellenberger,175.26,170.0,180.34,Orthodox,1985-03-28,31,67%,15,33%,0,0%,0.0,0%,2.47,39%,2.83,NA,2.04,47%,86%
Joe Ellenberger,175.26,155.0,182.88,Orthodox,1985-03-28,15,88%,2,12%,0,0%,0.0,0%,1.62,47%,3.45,48%,3.17,NA,0%
Tim Elliott,170.18,125.0,167.64,Southpaw,1986-12-24,21,60%,13,37%,1,3%,0.0,0%,3.39,44%,2.66,56%,3.73,47%,59%
Oban Elliott,182.88,170.0,182.88,Orthodox,1997-12-19,12,86%,2,14%,0,0%,0.0,0%,4.26,49%,2.25,62%,2.16,NA,72%
Eddy Ellis,175.26,170.0,NA,Orthodox,NA,21,54%,16,41%,1,3%,1.0,3%,3.4,69%,1.53,68%,4.0,66%,50%
Lisa Ellis,162.56,115.0,NA,NA,1982-11-15,15,58%,11,42%,0,0%,0.0,0%,1.68,48%,2.32,57%,4.19,63%,50%
Anna Elmose,160.02,115.0,NA,Orthodox,1984-10-06,3,60%,2,40%,0,0%,0.0,0%,3.68,49%,4.64,56%,0.0,NA,33%
Cameron Else,175.26,135.0,180.34,Switch,1987-04-27,10,62%,6,38%,0,0%,0.0,0%,1.99,NA,8.09,51%,0.0,NA,0%
Aaron Ely,172.72,135.0,NA,NA,1989-03-18,5,71%,2,29%,0,0%,0.0,0%,0.82,15%,0.66,69%,2.47,NA,50%
Sovannahry Em,162.56,135.0,NA,NA,1992-06-26,3,75%,1,25%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Ramazan Emeev,177.8,170.0,193.04,Southpaw,1987-05-23,20,77%,6,23%,0,0%,0.0,0%,2.53,45%,2.14,65%,2.37,29%,66%
Aleksander Emelianenko,198.12,255.0,NA,Orthodox,1981-08-02,23,77%,7,23%,0,0%,0.0,0%,2.75,41%,1.7,65%,2.32,72%,66%
Fedor Emelianenko,182.88,230.0,187.96,Orthodox,1976-09-28,36,86%,5,12%,0,0%,1.0,2%,3.18,51%,1.0,63%,2.0,63%,82%
Rob Emerson,175.26,155.0,177.8,Orthodox,1981-07-30,18,58%,12,39%,0,0%,1.0,3%,2.5,NA,2.83,64%,2.02,52%,65%
Jamall Emmers,177.8,145.0,187.96,Orthodox,1989-07-24,20,71%,8,29%,0,0%,0.0,0%,5.3,48%,4.05,57%,1.83,NA,90%
Josh Emmett,167.64,145.0,177.8,Orthodox,1985-03-04,19,83%,4,17%,0,0%,0.0,0%,4.04,36%,4.61,61%,0.91,37%,46%
Marius Enache,180.34,155.0,NA,NA,1975-10-16,3,50%,3,50%,0,0%,0.0,0%,1.71,34%,0.66,84%,3.94,NA,0%
Kevin Engel,187.96,170.0,NA,NA,NA,5,83%,1,17%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Kolton Englund,177.8,155.0,175.26,Orthodox,1993-07-09,9,69%,4,31%,0,0%,0.0,0%,2.31,25%,11.54,NA,0.0,NA,0%
Oliver Enkamp,182.88,170.0,195.58,Switch,1991-08-10,7,78%,2,22%,0,0%,0.0,0%,2.38,36%,3.55,37%,0.87,16%,0%
